DATE,EX-IMP
2000-01-01,69.1933389483870
2000-02-01,71.9412580324122
2000-03-01,70.1689809164215
2000-04-01,75.5372336348473
2000-05-01,86.4000325470286
2000-06-01,87.8139067731196
2000-07-01,81.0230958362257
2000-08-01,91.4125580379388
2000-09-01,90.9202551514458
2000-10-01,89.2074702285750
2000-11-01,81.7053169451857
2000-12-01,93.7671710143772
2001-01-01,89.6839671367345
2001-02-01,101.2368911201700
2001-03-01,82.4358210417169
2001-04-01,76.7187104888221
2001-05-01,81.8791461201722
2001-06-01,91.6362075953432
2001-07-01,72.0757822107505
2001-08-01,83.1979453257900
2001-09-01,94.8720618760480
2001-10-01,93.0773631869012
2001-11-01,91.6609285804594
2001-12-01,81.1944611561809
2002-01-01,98.2553575234877
2002-02-01,89.1139470341946
2002-03-01,82.5458438987281
2002-04-01,97.0010351588119
2002-05-01,82.9398776957402
2002-06-01,94.6050542407053
2002-07-01,97.3883220312612
2002-08-01,92.8823032413288
2002-09-01,88.1688192587032
2002-10-01,87.0950530350839
2002-11-01,84.9976111701967
2002-12-01,81.6743304356209
2003-01-01,85.4063114025264
2003-02-01,87.7007583474704
2003-03-01,77.2346587998508
2003-04-01,75.7700803188350
2003-05-01,79.8540392232805
2003-06-01,77.9078698162038
2003-07-01,83.1142956195524
2003-08-01,78.0712218944147
2003-09-01,87.0103272286188
2003-10-01,82.0226928415023
2003-11-01,80.6232759450630
2003-12-01,83.6236536192948
2004-01-01,74.1371879459336
2004-02-01,83.4135133702397
2004-03-01,86.6924167164712
2004-04-01,81.7981109487269
2004-05-01,77.3080771036124
2004-06-01,70.5545780919742
2004-07-01,76.5480077564629
2004-08-01,73.9162949286569
2004-09-01,73.4902393187660
2004-10-01,74.3195150725603
2004-11-01,80.9128881086972
2004-12-01,71.4400873203706
2005-01-01,72.9266036713547
2005-02-01,73.6381370759844
2005-03-01,72.7604409963717
2005-04-01,68.4975270479506
2005-05-01,63.1053391091452
2005-06-01,67.5467791129036
2005-07-01,67.2582651041611
2005-08-01,67.7226260840014
2005-09-01,65.5779187901549
2005-10-01,74.4999715862294
2005-11-01,68.8858794488309
2005-12-01,75.3961185139644
2006-01-01,69.9064614816644
2006-02-01,74.5248072073871
2006-03-01,71.7158021545652
2006-04-01,67.3354892225392
2006-05-01,70.0516039822030
2006-06-01,72.8199342331342
2006-07-01,73.0033633925267
2006-08-01,70.9583757437530
2006-09-01,61.8229636226502
2006-10-01,58.4127903667866
2006-11-01,65.1937076988290
2006-12-01,69.6387736244707
2007-01-01,74.9144046757210
2007-02-01,69.3385554221425
2007-03-01,66.6873538975924
2007-04-01,62.2794952833389
2007-05-01,61.5463206523889
2007-06-01,60.5395555998258
2007-07-01,61.2006532991146
2007-08-01,62.8140723917554
2007-09-01,68.3308356122994
2007-10-01,69.4713368050550
2007-11-01,62.4740034915412
2007-12-01,73.1542410167660
2008-01-01,64.4428636795137
2008-02-01,67.0799070198900
2008-03-01,65.0473344240417
2008-04-01,61.5682627117653
2008-05-01,66.1204362209871
2008-06-01,66.1508324541464
2008-07-01,62.2740919429906
2008-08-01,53.5220118931364
2008-09-01,50.5233233743096
2008-10-01,56.5554348796910
2008-11-01,50.5980491759006
2008-12-01,69.2863757928659
2009-01-01,69.7936766290121
2009-02-01,75.5606171689778
2009-03-01,69.3633490056471
2009-04-01,65.2189172885638
2009-05-01,63.8908709590095
2009-06-01,58.9096123123693
2009-07-01,68.3493629526249
2009-08-01,61.2461060231737
2009-09-01,67.6379412641234
2009-10-01,59.1404189880834
2009-11-01,63.5798248063881
2009-12-01,58.8035492920851
2010-01-01,60.8511828946198
2010-02-01,57.4212691616089
2010-03-01,61.0247921489576
2010-04-01,57.8933270137568
2010-05-01,60.3161527952188
2010-06-01,71.8995864883741
2010-07-01,59.0913336608670
2010-08-01,66.4748653231204
2010-09-01,64.0186413768068
2010-10-01,60.9331332409312
2010-11-01,83.3309687436756
2010-12-01,74.5773689833342
2011-01-01,67.3409041408591
2011-02-01,67.2092188873543
2011-03-01,79.2262083817483
2011-04-01,64.7171154501071
2011-05-01,60.8677802565528
2011-06-01,64.7045338513854
2011-07-01,66.3584315476274
2011-08-01,63.0247560354224
2011-09-01,66.3991563375677
2011-10-01,59.5882467558540
2011-11-01,63.3387933258677
2011-12-01,63.6160278328010
2012-01-01,58.6833104296334
2012-02-01,58.0461602286712
2012-03-01,60.6718835467882
2012-04-01,62.8990947678293
2012-05-01,61.1362451001354
2012-06-01,68.5636284405740
2012-07-01,58.8024456426940
2012-08-01,63.0922573342095
2012-09-01,58.5547915495416
2012-10-01,56.6349954082399
2012-11-01,61.1632441316281
2012-12-01,59.2579389300900
2013-01-01,57.3889715657434
2013-02-01,62.3322238730026
2013-03-01,66.4678881229511
2013-04-01,59.6158598713979
2013-05-01,58.7897052883176
2013-06-01,67.5407847757071
2013-07-01,69.8090002558090
2013-08-01,72.2206760840911
2013-09-01,81.2467579832331
2013-10-01,75.2745641806150
2013-11-01,76.0959208963734
2013-12-01,72.4017098414652
2014-01-01,73.8487868882006
2014-02-01,71.8338670616416
2014-03-01,65.5916400001665
2014-04-01,72.8746982826101
2014-05-01,74.1533505918605
2014-06-01,67.3142909326334
2014-07-01,66.6884419660010
2014-08-01,72.5546044806928
2014-09-01,66.0246140693613
2014-10-01,68.5225117636967
2014-11-01,65.7485413865969
2014-12-01,74.4205229206999
2015-01-01,75.5206347662291
2015-02-01,73.0939601594357
2015-03-01,60.7420161355752
2015-04-01,66.6582268275542
2015-05-01,70.6614808703151
